"","spygen_code","habitat"
"86","SPY211044","empty"
"87","SPY211047","empty"
"88","SPY211053","empty"
"89","SPY211056","empty"
"90","SPY211057","empty"
"91","SPY211064","empty"
"273","SPY200468","empty"
"274","SPY200474","empty"
"275","SPY201952","empty"
"276","SPY201953","empty"
"277","SPY201961","empty"
"278","SPY201962","empty"
"279","SPY210637","empty"
"280","SPY210649","empty"
"281","SPY210654","empty"
"282","SPY211052","empty"
"283","SPY211058","empty"
"284","SPY212760","empty"
"285","SPY212762","empty"
"286","SPY212763","empty"
"287","SPY212764","empty"
"288","SPY212765","empty"
"289","SPY212766","empty"
"290","SPY212767","empty"
"291","SPY212768","empty"
"292","SPY212769","empty"
"354","SPY200806","empty"
"355","SPY200807","empty"
"356","SPY211059","empty"
"357","SPY211060","empty"
"358","SPY211051","empty"
"359","SPY211063","empty"
"360","SPY223325","empty"
"361","SPY223333","empty"
"362","SPY224252","empty"
"363","SPY224256","empty"
"367","SPY201239","empty"
"368","SPY201241","empty"
"369","SPY211045","empty"
"370","SPY211046","empty"
"371","SPY181699","empty"
"372","SPY192310","empty"
"373","SPY201163","empty"
"374","SPY211048","empty"
"375","SPY211049","empty"
"376","SPY211050","empty"
"377","SPY211054","empty"
"378","SPY211055","empty"
"379","SPY211062","empty"
"380","SPY211138","empty"
"381","SPY211163","empty"
"382","SPY211168","empty"
"383","SPY211169","empty"
"384","SPY211170","empty"
"385","SPY211172","empty"
"386","SPY211173","empty"
"387","SPY211174","empty"
"388","SPY211177","empty"
"389","SPY211178","empty"
"390","SPY211180","empty"
"391","SPY211181","empty"
"392","SPY211182","empty"
"393","SPY211183","empty"
"394","SPY211184","empty"
"395","SPY212710","empty"
"396","SPY212711","empty"
"397","SPY212712","empty"
"398","SPY212713","empty"
"399","SPY212714","empty"
"400","SPY212715","empty"
"401","SPY212716","empty"
"402","SPY212717","empty"
"403","SPY212718","empty"
"404","SPY212719","empty"
"405","SPY212756","empty"
"406","SPY212758","empty"
"407","SPY212759","empty"
"421","SPY211068","empty"
"422","SPY211073","empty"
"423","SPY211071","empty"
"424","SPY211072","empty"
"459","SPY211069","empty"
"460","SPY211070","empty"
