"","spygen_code","habitat"
"1","SPY201956","empty"
"2","SPY201957","empty"
"3","SPY201958","empty"
"4","SPY201963","empty"
"5","SPY201964","empty"
"6","SPY201965","empty"
"7","SPY201966","empty"
"8","SPY210636","empty"
"9","SPY210640","empty"
"10","SPY210641","empty"
"11","SPY210642","empty"
"12","SPY210645","empty"
"13","SPY210646","empty"
"14","SPY210650","empty"
"15","SPY210655","empty"
"16","SPY210656","empty"
"17","SPY210657","empty"
"18","SPY210658","empty"
"19","SPY210659","empty"
"20","SPY210660","empty"
"21","SPY210661","empty"
"22","SPY210662","empty"
"23","SPY210663","empty"
"24","SPY210664","empty"
"25","SPY210665","empty"
"26","SPY210666","empty"
"27","SPY210667","empty"
"28","SPY210668","empty"
"29","SPY210669","empty"
"30","SPY210670","empty"
"31","SPY210673","empty"
"32","SPY210674","empty"
"33","SPY210675","empty"
"34","SPY210676","empty"
"35","SPY210677","empty"
"36","SPY210678","empty"
"37","SPY210679","empty"
"38","SPY210680","empty"
"39","SPY210681","empty"
"40","SPY210682","empty"
"41","SPY210683","empty"
"42","SPY210684","empty"
"43","SPY210685","empty"
"44","SPY210686","empty"
"45","SPY210687","empty"
"46","SPY210688","empty"
"47","SPY210689","empty"
"48","SPY210690","empty"
"49","SPY210691","empty"
"50","SPY210692","empty"
"51","SPY210693","empty"
"52","SPY210694","empty"
"53","SPY210695","empty"
"54","SPY210696","empty"
"55","SPY210697","empty"
"56","SPY210698","empty"
"57","SPY210699","empty"
"58","SPY210700","empty"
"59","SPY210701","empty"
"60","SPY210702","empty"
"61","SPY210703","empty"
"62","SPY210704","empty"
"63","SPY210705","empty"
"64","SPY210706","empty"
"65","SPY210707","empty"
"66","SPY210708","empty"
"67","SPY210709","empty"
"68","SPY210710","empty"
"69","SPY210711","empty"
"70","SPY210712","empty"
"71","SPY210713","empty"
"72","SPY210714","empty"
"73","SPY210715","empty"
"74","SPY210716","empty"
"75","SPY210717","empty"
"76","SPY210718","empty"
"77","SPY210719","empty"
"78","SPY210720","empty"
"79","SPY210721","empty"
"80","SPY210722","empty"
"81","SPY210724","empty"
"82","SPY210725","empty"
"83","SPY210726","empty"
"84","SPY210727","empty"
"85","SPY210728","empty"
"86","SPY211044","empty"
"87","SPY211047","empty"
"88","SPY211053","empty"
"89","SPY211056","empty"
"90","SPY211057","empty"
"91","SPY211064","empty"
"92","SPY211262","empty"
"93","SPY211273","empty"
"94","SPY211277","empty"
"95","SPY211301","empty"
"96","SPY211310","empty"
"97","SPY211311","empty"
"98","SPY212584","empty"
"99","SPY212585","empty"
"100","SPY212586","empty"
"101","SPY212587","empty"
"102","SPY212588","empty"
"103","SPY212589","empty"
"104","SPY231655","empty"
"105","SPY231656","empty"
"106","SPY231657","empty"
"107","SPY231658","empty"
"108","SPY231659","empty"
"109","SPY231660","empty"
"110","SPY231661","empty"
"111","SPY231662","empty"
"112","SPY231663","empty"
"113","SPY231664","empty"
"114","SPY231665","empty"
"115","SPY231666","empty"
"116","SPY231667","empty"
"117","SPY231668","empty"
"118","SPY231669","empty"
"119","SPY231670","empty"
"120","SPY231671","empty"
"121","SPY231672","empty"
"122","SPY231673","empty"
"123","SPY231674","empty"
"124","SPY231675","empty"
"125","SPY231676","empty"
"126","SPY231677","empty"
"127","SPY231678","empty"
"128","SPY231679","empty"
"129","SPY231680","empty"
"130","SPY231681","empty"
"131","SPY231682","empty"
"132","SPY231683","empty"
"133","SPY231684","empty"
"134","SPY231685","empty"
"135","SPY231686","empty"
"136","SPY231687","empty"
"137","SPY231688","empty"
"138","SPY231689","empty"
"139","SPY231690","empty"
"140","SPY231691","empty"
"141","SPY231692","empty"
"142","SPY231693","empty"
"143","SPY231694","empty"
"144","SPY231695","empty"
"145","SPY231696","empty"
"146","SPY231697","empty"
"147","SPY231698","empty"
"148","SPY231699","empty"
"149","SPY231700","empty"
"150","SPY231701","empty"
"151","SPY231702","empty"
"152","SPY231703","empty"
"153","SPY231704","empty"
"154","SPY231705","empty"
"155","SPY231706","empty"
"156","SPY231707","empty"
"157","SPY231708","empty"
"158","SPY231709","empty"
"159","SPY231710","empty"
"160","SPY231711","empty"
"161","SPY231712","empty"
"162","SPY231713","empty"
"163","SPY231714","empty"
"164","SPY231715","empty"
"165","SPY231716","empty"
"166","SPY231717","empty"
"167","SPY231718","empty"
"168","SPY231719","empty"
"169","SPY231720","empty"
"170","SPY231721","empty"
"171","SPY231722","empty"
"172","SPY231723","empty"
"173","SPY231724","empty"
"174","SPY231725","empty"
"175","SPY231726","empty"
"176","SPY231727","empty"
"177","SPY231728","empty"
"178","SPY231729","empty"
"179","SPY231730","empty"
"180","SPY231731","empty"
"181","SPY231732","empty"
"182","SPY231733","empty"
"183","SPY231734","empty"
"184","SPY231735","empty"
"185","SPY231736","empty"
"186","SPY231737","empty"
"187","SPY231738","empty"
"188","SPY231739","empty"
"189","SPY231740","empty"
"190","SPY231741","empty"
"191","SPY231742","empty"
"192","SPY231743","empty"
"193","SPY231744","empty"
"194","SPY231745","empty"
"195","SPY231746","empty"
"196","SPY231747","empty"
"197","SPY231748","empty"
"198","SPY231749","empty"
"199","SPY231750","empty"
"200","SPY231751","empty"
"201","SPY231752","empty"
"202","SPY231753","empty"
"203","SPY231754","empty"
"204","SPY231755","empty"
"205","SPY231756","empty"
"206","SPY231757","empty"
"207","SPY231758","empty"
"208","SPY231759","empty"
"209","SPY231760","empty"
"210","SPY231761","empty"
"211","SPY231762","empty"
"212","SPY231763","empty"
"213","SPY231764","empty"
"214","SPY231765","empty"
"215","SPY231766","empty"
"216","SPY231767","empty"
"217","SPY231768","empty"
"218","SPY231769","empty"
"219","SPY231770","empty"
"220","SPY231771","empty"
"221","SPY231772","empty"
"222","SPY231773","empty"
"223","SPY231774","empty"
"224","SPY231775","empty"
"225","SPY231776","empty"
"226","SPY231777","empty"
"227","SPY231778","empty"
"228","SPY231779","empty"
"229","SPY231780","empty"
"230","SPY231781","empty"
"231","SPY231782","empty"
"232","SPY231783","empty"
"233","SPY231784","empty"
"234","SPY231785","empty"
"235","SPY231786","empty"
"236","SPY231787","empty"
"237","SPY231788","empty"
"238","SPY231789","empty"
"239","SPY231790","empty"
"240","SPY231791","empty"
"241","SPY231792","empty"
"242","SPY231793","empty"
"243","SPY231794","empty"
"244","SPY231795","empty"
"245","SPY231796","empty"
"246","SPY231797","empty"
"247","SPY231798","empty"
"248","SPY231885","empty"
"249","SPY231886","empty"
"250","SPY231897","empty"
"251","SPY231898","empty"
"252","SPY231903","empty"
"253","SPY231904","empty"
"254","SPY231905","empty"
"255","SPY231906","empty"
"256","SPY231907","empty"
"257","SPY231908","empty"
"258","SPY231909","empty"
"259","SPY231910","empty"
"260","SPY231913","empty"
"261","SPY231914","empty"
"262","SPY231915","empty"
"263","SPY231916","empty"
"264","SPY210643","empty"
"265","SPY210644","empty"
"266","SPY210648","empty"
"267","SPY210651","empty"
"268","SPY210671","empty"
"269","SPY231889","empty"
"270","SPY231890","empty"
"271","SPY231891","empty"
"272","SPY231892","empty"
"273","SPY200468","empty"
"274","SPY200474","empty"
"275","SPY201952","empty"
"276","SPY201953","empty"
"277","SPY201961","empty"
