"","spygen_code","habitat"
"1","SPY201149","empty"
"2","SPY201150","empty"
"3","SPY201151","empty"
"4","SPY201152","empty"
"5","SPY201157","empty"
"6","SPY201158","empty"
"7","SPY201175","empty"
"8","SPY201176","empty"
"9","SPY201177","empty"
"10","SPY201179","empty"
"11","SPY201187","empty"
"12","SPY201191","empty"
"13","SPY201192","empty"
"14","SPY201193","empty"
"15","SPY201198","empty"
"16","SPY202492","empty"
"17","SPY202496","empty"
"18","SPY202498","empty"
"19","SPY202499","empty"
"20","SPY202500","empty"
"21","SPY210647","empty"
"22","SPY210652","empty"
"23","SPY210695","empty"
"24","SPY210696","empty"
"25","SPY210697","empty"
"26","SPY210698","empty"
"27","SPY210699","empty"
"28","SPY210700","empty"
"29","SPY210705","empty"
"30","SPY210710","empty"
"31","SPY231655","empty"
"32","SPY231656","empty"
"33","SPY231657","empty"
"34","SPY231658","empty"
"35","SPY231659","empty"
"36","SPY231660","empty"
"37","SPY231661","empty"
"38","SPY231662","empty"
"39","SPY231663","empty"
"40","SPY231664","empty"
"41","SPY231665","empty"
"42","SPY231666","empty"
"43","SPY231667","empty"
"44","SPY231668","empty"
"45","SPY231677","empty"
"46","SPY231678","empty"
"47","SPY231679","empty"
"48","SPY231680","empty"
"49","SPY231683","empty"
"50","SPY231684","empty"
"51","SPY231685","empty"
"52","SPY231686","empty"
"53","SPY231687","empty"
"54","SPY231688","empty"
"55","SPY231689","empty"
"56","SPY231690","empty"
"57","SPY231697","empty"
"58","SPY231698","empty"
"59","SPY231699","empty"
"60","SPY231700","empty"
"61","SPY231701","empty"
"62","SPY231702","empty"
"63","SPY231703","empty"
"64","SPY231704","empty"
"65","SPY231705","empty"
"66","SPY231706","empty"
"67","SPY231707","empty"
"68","SPY231708","empty"
"69","SPY231709","empty"
"70","SPY231710","empty"
"71","SPY231711","empty"
"72","SPY231712","empty"
"73","SPY231774","empty"
"74","SPY231775","empty"
"75","SPY231776","empty"
"76","SPY231777","empty"
"77","SPY231778","empty"
"78","SPY231779","empty"
"79","SPY231780","empty"
"80","SPY231781","empty"
"81","SPY231782","empty"
"82","SPY231783","empty"
"83","SPY231784","empty"
"84","SPY231785","empty"
"85","SPY231786","empty"
"86","SPY231787","empty"
"87","SPY231788","empty"
"88","SPY231789","empty"
"89","SPY231790","empty"
"90","SPY231791","empty"
"91","SPY231792","empty"
"92","SPY231793","empty"
"93","SPY231794","empty"
"94","SPY231795","empty"
"95","SPY231796","empty"
"96","SPY231797","empty"
"97","SPY231798","empty"
"98","SPY231903","empty"
"99","SPY231904","empty"
"100","SPY231905","empty"
"101","SPY231906","empty"
"102","SPY231907","empty"
"103","SPY231908","empty"
"104","SPY231909","empty"
"105","SPY231910","empty"
"106","SPY231911","empty"
"107","SPY231915","empty"
"108","SPY231916","empty"
"109","SPY232830","empty"
"110","SPY232831","empty"
"111","SPY232833","empty"
"112","SPY232834","empty"
