"","spygen_code","habitat"
"1","SPY201956","meadow"
"2","SPY201957","meadow"
"3","SPY201963","meadow"
"4","SPY201964","meadow"
"5","SPY201965","meadow"
"6","SPY201966","meadow"
"7","SPY210636","meadow"
"8","SPY210640","meadow"
"9","SPY210641","sandy_bed"
"10","SPY210642","sandy_bed"
"11","SPY210645","meadow"
"12","SPY210650","meadow"
"13","SPY210655","meadow"
"14","SPY210656","meadow"
"15","SPY210657","meadow"
"16","SPY210658","meadow"
"17","SPY210659","meadow"
"18","SPY210660","meadow"
"19","SPY210661","meadow"
"20","SPY210662","meadow"
"21","SPY210663","meadow"
"22","SPY210664","meadow"
"23","SPY210665","meadow"
"24","SPY210666","meadow"
"25","SPY210667","meadow"
"26","SPY210668","meadow"
"27","SPY210669","meadow"
"28","SPY210670","meadow"
"29","SPY210673","meadow"
"30","SPY210674","meadow"
"31","SPY210675","meadow"
"32","SPY210676","meadow"
"33","SPY210677","meadow"
"34","SPY210678","meadow"
"35","SPY210679","meadow"
"36","SPY210680","meadow"
"37","SPY210681","meadow"
"38","SPY210682","meadow"
"39","SPY210683","meadow"
"40","SPY210684","meadow"
"41","SPY210685","meadow"
"42","SPY210686","meadow"
"43","SPY210687","meadow"
"44","SPY210688","meadow"
"45","SPY210689","meadow"
"46","SPY210690","meadow"
"47","SPY210691","meadow"
"48","SPY210692","meadow"
"49","SPY210693","meadow"
"50","SPY210694","meadow"
"51","SPY210695","meadow"
"52","SPY210696","meadow"
"53","SPY210697","meadow"
"54","SPY210698","meadow"
"55","SPY210699","meadow"
"56","SPY210700","meadow"
"57","SPY210701","meadow"
"58","SPY210702","meadow"
"59","SPY210703","meadow"
"60","SPY210704","meadow"
"61","SPY210705","meadow"
"62","SPY210706","meadow"
"63","SPY210707","meadow"
"64","SPY210708","meadow"
"65","SPY210709","meadow"
"66","SPY210710","meadow"
"67","SPY210711","meadow"
"68","SPY210712","meadow"
"69","SPY210713","meadow"
"70","SPY210714","meadow"
"71","SPY210715","meadow"
"72","SPY210716","meadow"
"73","SPY210717","meadow"
"74","SPY210718","meadow"
"75","SPY210719","meadow"
"76","SPY210720","meadow"
"77","SPY210721","meadow"
"78","SPY210722","meadow"
"79","SPY210724","meadow"
"80","SPY210725","meadow"
"81","SPY210726","meadow"
"82","SPY210727","meadow"
"83","SPY210728","meadow"
"84","SPY212588","coralligenous"
"85","SPY212589","coralligenous"
"86","SPY231655","sandy_bed"
"87","SPY231656","sandy_bed"
"88","SPY231657","sandy_bed"
"89","SPY231658","sandy_bed"
"90","SPY231659","sandy_bed"
"91","SPY231660","sandy_bed"
"92","SPY231661","sandy_bed"
"93","SPY231662","sandy_bed"
"94","SPY231663","sandy_bed"
"95","SPY231664","sandy_bed"
"96","SPY231665","sandy_bed"
"97","SPY231666","sandy_bed"
"98","SPY231667","sandy_bed"
"99","SPY231668","sandy_bed"
"100","SPY231669","sandy_bed"
"101","SPY231670","sandy_bed"
"102","SPY231671","sandy_bed"
"103","SPY231672","sandy_bed"
"104","SPY231673","sandy_bed"
"105","SPY231674","sandy_bed"
"106","SPY231675","sandy_bed"
"107","SPY231676","sandy_bed"
"108","SPY231677","sandy_bed"
"109","SPY231678","sandy_bed"
"110","SPY231679","sandy_bed"
"111","SPY231680","sandy_bed"
"112","SPY231681","sandy_bed"
"113","SPY231682","sandy_bed"
"114","SPY231683","sandy_bed"
"115","SPY231684","sandy_bed"
"116","SPY231685","sandy_bed"
"117","SPY231686","sandy_bed"
"118","SPY231687","sandy_bed"
"119","SPY231688","sandy_bed"
"120","SPY231689","sandy_bed"
"121","SPY231690","sandy_bed"
"122","SPY231691","sandy_bed"
"123","SPY231692","sandy_bed"
"124","SPY231693","sandy_bed"
"125","SPY231694","sandy_bed"
"126","SPY231695","sandy_bed"
"127","SPY231696","sandy_bed"
"128","SPY231697","sandy_bed"
"129","SPY231698","sandy_bed"
"130","SPY231699","sandy_bed"
"131","SPY231700","sandy_bed"
"132","SPY231701","sandy_bed"
"133","SPY231702","sandy_bed"
"134","SPY231703","sandy_bed"
"135","SPY231704","sandy_bed"
"136","SPY231705","sandy_bed"
"137","SPY231706","sandy_bed"
"138","SPY231707","sandy_bed"
"139","SPY231708","sandy_bed"
"140","SPY231709","sandy_bed"
"141","SPY231710","sandy_bed"
"142","SPY231711","sandy_bed"
"143","SPY231712","sandy_bed"
"144","SPY231713","sandy_bed"
"145","SPY231714","sandy_bed"
"146","SPY231715","sandy_bed"
"147","SPY231716","sandy_bed"
"148","SPY231717","sandy_bed"
"149","SPY231718","sandy_bed"
"150","SPY231719","sandy_bed"
"151","SPY231720","sandy_bed"
"152","SPY231721","sandy_bed"
"153","SPY231722","sandy_bed"
"154","SPY231723","sandy_bed"
"155","SPY231724","sandy_bed"
"156","SPY231725","sandy_bed"
"157","SPY231726","sandy_bed"
"158","SPY231727","sandy_bed"
"159","SPY231728","sandy_bed"
"160","SPY231729","sandy_bed"
"161","SPY231730","sandy_bed"
"162","SPY231731","sandy_bed"
"163","SPY231732","sandy_bed"
"164","SPY231733","sandy_bed"
"165","SPY231734","sandy_bed"
"166","SPY231735","sandy_bed"
"167","SPY231736","sandy_bed"
"168","SPY231737","sandy_bed"
"169","SPY231738","sandy_bed"
"170","SPY231739","sandy_bed"
"171","SPY231740","sandy_bed"
"172","SPY231741","sandy_bed"
"173","SPY231742","sandy_bed"
"174","SPY231743","sandy_bed"
"175","SPY231744","sandy_bed"
"176","SPY231745","sandy_bed"
"177","SPY231746","sandy_bed"
"178","SPY231747","sandy_bed"
"179","SPY231748","sandy_bed"
"180","SPY231749","sandy_bed"
"181","SPY231750","sandy_bed"
"182","SPY231751","sandy_bed"
"183","SPY231752","sandy_bed"
"184","SPY231753","sandy_bed"
