"","spygen_code","habitat"
"1","SPY181699","NA"
"2","SPY192310","NA"
"3","SPY200468","NA"
"4","SPY200474","NA"
"5","SPY200806","NA"
"6","SPY200807","NA"
"7","SPY201163","NA"
"8","SPY201239","NA"
"9","SPY201241","NA"
"10","SPY201952","NA"
"11","SPY201953","meadow_rocks"
"12","SPY201961","NA"
"13","SPY201962","NA"
"14","SPY210637","NA"
"15","SPY210649","meadow_rocks"
"16","SPY210654","meadow_rocks"
"17","SPY211044","meadow"
"18","SPY211045","coralligenous"
"19","SPY211046","coralligenous"
"20","SPY211047","meadow"
"21","SPY211048","meadow"
"22","SPY211049","coralligenous"
"23","SPY211050","coralligenous"
"24","SPY211051","meadow"
"25","SPY211052","coralligenous"
"26","SPY211053","meadow"
"27","SPY211054","meadow"
"28","SPY211055","meadow"
"29","SPY211056","coralligenous"
"30","SPY211057","meadow"
"31","SPY211058","coralligenous"
"32","SPY211059","meadow"
"33","SPY211060","meadow"
"34","SPY211062","meadow"
"35","SPY211063","meadow"
"36","SPY211064","coralligenous"
"37","SPY211068","meadow"
"38","SPY211069","coralligenous"
"39","SPY211070","coralligenous"
"40","SPY211071","meadow"
"41","SPY211072","meadow"
"42","SPY211073","meadow"
"43","SPY211138","rocks_reef"
"44","SPY211163","NA"
"45","SPY211168","NA"
"46","SPY211169","NA"
"47","SPY211170","NA"
"48","SPY211172","NA"
"49","SPY211173","NA"
"50","SPY211174","NA"
"51","SPY211177","NA"
"52","SPY211178","NA"
"53","SPY211180","NA"
"54","SPY211181","NA"
"55","SPY211182","NA"
"56","SPY211183","NA"
"57","SPY211184","NA"
"58","SPY212710","NA"
"59","SPY212711","NA"
"60","SPY212712","NA"
"61","SPY212713","NA"
"62","SPY212714","NA"
"63","SPY212715","NA"
"64","SPY212716","NA"
"65","SPY212717","NA"
"66","SPY212718","NA"
"67","SPY212719","NA"
"68","SPY212756","NA"
"69","SPY212758","NA"
"70","SPY212759","NA"
"71","SPY212760","NA"
"72","SPY212762","meadow_rocks"
"73","SPY212763","meadow_rocks"
"74","SPY212764","meadow_rocks"
"75","SPY212765","NA"
"76","SPY212766","meadow_rocks"
"77","SPY212767","NA"
"78","SPY212768","meadow_rocks"
"79","SPY212769","NA"
"80","SPY223325","rocks_sandy_bed"
"81","SPY223333","rocks_sandy_bed"
"82","SPY224252","rocks_sandy_bed"
"83","SPY224256","rocks_sandy_bed"
