"","spygen_code","habitat"
"1","SPY201956","meadow"
"2","SPY201957","meadow"
"3","SPY201958","NA"
"4","SPY201963","meadow"
"5","SPY201964","meadow"
"6","SPY201965","meadow"
"7","SPY201966","meadow"
"8","SPY210636","meadow"
"9","SPY210640","meadow"
"10","SPY210641","sandy_bed"
"11","SPY210642","sandy_bed"
"12","SPY210645","meadow"
"13","SPY210646","NA"
"14","SPY210650","meadow"
"15","SPY210655","meadow"
"16","SPY210656","meadow"
"17","SPY210657","meadow"
"18","SPY210658","meadow"
"19","SPY210659","meadow"
"20","SPY210660","meadow"
"21","SPY210661","meadow"
"22","SPY210662","meadow"
"23","SPY210663","meadow"
"24","SPY210664","meadow"
"25","SPY210665","meadow"
"26","SPY210666","meadow"
"27","SPY210667","meadow"
"28","SPY210668","meadow"
"29","SPY210669","meadow"
"30","SPY210670","meadow"
"31","SPY210673","meadow"
"32","SPY210674","meadow"
"33","SPY210675","meadow"
"34","SPY210676","meadow"
"35","SPY210677","meadow"
"36","SPY210678","meadow"
"37","SPY210679","meadow"
"38","SPY210680","meadow"
"39","SPY210681","meadow"
"40","SPY210682","meadow"
"41","SPY210683","meadow"
"42","SPY210684","meadow"
"43","SPY210685","meadow"
"44","SPY210686","meadow"
"45","SPY210687","meadow"
"46","SPY210688","meadow"
"47","SPY210689","meadow"
"48","SPY210690","meadow"
"49","SPY210691","meadow"
"50","SPY210692","meadow"
"51","SPY210693","meadow"
"52","SPY210694","meadow"
"53","SPY210695","meadow"
"54","SPY210696","meadow"
"55","SPY210697","meadow"
"56","SPY210698","meadow"
"57","SPY210699","meadow"
"58","SPY210700","meadow"
"59","SPY210701","meadow"
"60","SPY210702","meadow"
"61","SPY210703","meadow"
"62","SPY210704","meadow"
"63","SPY210705","meadow"
"64","SPY210706","meadow"
"65","SPY210707","meadow"
"66","SPY210708","meadow"
"67","SPY210709","meadow"
"68","SPY210710","meadow"
"69","SPY210711","meadow"
"70","SPY210712","meadow"
"71","SPY210713","meadow"
"72","SPY210714","meadow"
"73","SPY210715","meadow"
"74","SPY210716","meadow"
"75","SPY210717","meadow"
"76","SPY210718","meadow"
"77","SPY210719","meadow"
"78","SPY210720","meadow"
"79","SPY210721","meadow"
"80","SPY210722","meadow"
"81","SPY210724","meadow"
"82","SPY210725","meadow"
"83","SPY210726","meadow"
"84","SPY210727","meadow"
"85","SPY210728","meadow"
"86","SPY211044","meadow"
"87","SPY211047","meadow"
"88","SPY211053","meadow"
"89","SPY211056","coralligenous"
"90","SPY211057","meadow"
"91","SPY211064","coralligenous"
"92","SPY211262","NA"
"93","SPY211273","NA"
"94","SPY211277","NA"
"95","SPY211301","NA"
"96","SPY211310","NA"
"97","SPY211311","NA"
"98","SPY212584","NA"
"99","SPY212585","NA"
"100","SPY212586","NA"
"101","SPY212587","NA"
"102","SPY212588","coralligenous"
"103","SPY212589","coralligenous"
"104","SPY231655","sandy_bed"
"105","SPY231656","sandy_bed"
"106","SPY231657","sandy_bed"
"107","SPY231658","sandy_bed"
"108","SPY231659","sandy_bed"
"109","SPY231660","sandy_bed"
"110","SPY231661","sandy_bed"
"111","SPY231662","sandy_bed"
"112","SPY231663","sandy_bed"
"113","SPY231664","sandy_bed"
"114","SPY231665","sandy_bed"
"115","SPY231666","sandy_bed"
"116","SPY231667","sandy_bed"
"117","SPY231668","sandy_bed"
"118","SPY231669","sandy_bed"
"119","SPY231670","sandy_bed"
"120","SPY231671","sandy_bed"
"121","SPY231672","sandy_bed"
"122","SPY231673","sandy_bed"
"123","SPY231674","sandy_bed"
"124","SPY231675","sandy_bed"
"125","SPY231676","sandy_bed"
"126","SPY231677","sandy_bed"
"127","SPY231678","sandy_bed"
"128","SPY231679","sandy_bed"
"129","SPY231680","sandy_bed"
"130","SPY231681","sandy_bed"
"131","SPY231682","sandy_bed"
"132","SPY231683","sandy_bed"
"133","SPY231684","sandy_bed"
"134","SPY231685","sandy_bed"
"135","SPY231686","sandy_bed"
"136","SPY231687","sandy_bed"
"137","SPY231688","sandy_bed"
"138","SPY231689","sandy_bed"
"139","SPY231690","sandy_bed"
"140","SPY231691","sandy_bed"
"141","SPY231692","sandy_bed"
"142","SPY231693","sandy_bed"
"143","SPY231694","sandy_bed"
"144","SPY231695","sandy_bed"
"145","SPY231696","sandy_bed"
"146","SPY231697","sandy_bed"
"147","SPY231698","sandy_bed"
"148","SPY231699","sandy_bed"
"149","SPY231700","sandy_bed"
"150","SPY231701","sandy_bed"
"151","SPY231702","sandy_bed"
"152","SPY231703","sandy_bed"
"153","SPY231704","sandy_bed"
"154","SPY231705","sandy_bed"
"155","SPY231706","sandy_bed"
"156","SPY231707","sandy_bed"
"157","SPY231708","sandy_bed"
"158","SPY231709","sandy_bed"
"159","SPY231710","sandy_bed"
"160","SPY231711","sandy_bed"
"161","SPY231712","sandy_bed"
"162","SPY231713","sandy_bed"
"163","SPY231714","sandy_bed"
"164","SPY231715","sandy_bed"
"165","SPY231716","sandy_bed"
"166","SPY231717","sandy_bed"
"167","SPY231718","sandy_bed"
"168","SPY231719","sandy_bed"
"169","SPY231720","sandy_bed"
"170","SPY231721","sandy_bed"
"171","SPY231722","sandy_bed"
"172","SPY231723","sandy_bed"
"173","SPY231724","sandy_bed"
"174","SPY231725","sandy_bed"
"175","SPY231726","sandy_bed"
"176","SPY231727","sandy_bed"
"177","SPY231728","sandy_bed"
"178","SPY231729","sandy_bed"
"179","SPY231730","sandy_bed"
"180","SPY231731","sandy_bed"
"181","SPY231732","sandy_bed"
"182","SPY231733","sandy_bed"
"183","SPY231734","sandy_bed"
"184","SPY231735","sandy_bed"
"185","SPY231736","sandy_bed"
"186","SPY231737","sandy_bed"
"187","SPY231738","sandy_bed"
"188","SPY231739","sandy_bed"
