"","spygen_code","protection"
"1","SPY201149",0
"2","SPY201151",0
"3","SPY201176",0
"4","SPY201177",0
"5","SPY201179",0
"6","SPY201193",0
"7","SPY202492",0
"8","SPY202499",0
"9","SPY210647",0
"10","SPY210652",0
"11","SPY210695",0
"12","SPY210696",0
"13","SPY210697",0
"14","SPY210698",0
"15","SPY210699",0
"16","SPY210700",0
"17","SPY210705",0
"18","SPY210710",0
"19","SPY231655",0
"20","SPY231656",0
"21","SPY231657",0
"22","SPY231658",0
"23","SPY231659",0
"24","SPY231665",0
"25","SPY231666",0
"26","SPY231667",0
"27","SPY231668",0
"28","SPY231705",0
"29","SPY231706",0
"30","SPY231707",0
"31","SPY231708",0
"32","SPY231709",0
"81","SPY231697",1
"82","SPY231698",1
"83","SPY201150",1
"84","SPY201152",1
"85","SPY201157",1
"86","SPY201158",1
"87","SPY231699",1
"88","SPY231700",1
"89","SPY231701",1
"90","SPY231702",1
"91","SPY231911",1
"92","SPY201187",1
"93","SPY201192",1
"94","SPY201198",1
"95","SPY202500",1
"96","SPY231683",1
"97","SPY231684",1
"98","SPY231685",1
"99","SPY231686",1
"100","SPY231687",1
"101","SPY231688",1
"102","SPY231689",1
"103","SPY231690",1
"104","SPY201175",1
"105","SPY201191",1
"106","SPY202496",1
"107","SPY202498",1
"108","SPY231660",1
"109","SPY231661",1
"110","SPY231662",1
"111","SPY231663",1
"112","SPY231664",1
