"","spygen_code","protection"
"1","SPY211052",0
"2","SPY211053",0
"3","SPY211057",0
"4","SPY211058",0
"5","SPY201149",0
"6","SPY201151",0
"7","SPY201176",0
"8","SPY201177",0
"9","SPY201179",0
"10","SPY201193",0
"11","SPY201956",0
"12","SPY201957",0
"13","SPY201963",0
"14","SPY201964",0
"15","SPY201965",0
"16","SPY201966",0
"17","SPY202492",0
"18","SPY202499",0
"19","SPY210636",0
"20","SPY210640",0
"21","SPY210641",0
"22","SPY210642",0
"23","SPY210647",0
"24","SPY210652",0
"25","SPY210667",0
"26","SPY210668",0
"27","SPY210669",0
"28","SPY210672",0
"29","SPY210673",0
"30","SPY210674",0
"31","SPY210675",0
"32","SPY210677",0
"33","SPY210678",0
"34","SPY210695",0
"35","SPY210696",0
"36","SPY210697",0
"37","SPY210698",0
"38","SPY210699",0
"39","SPY210700",0
"40","SPY210701",0
"41","SPY210702",0
"42","SPY210703",0
"43","SPY210704",0
"44","SPY210705",0
"45","SPY210706",0
"46","SPY210707",0
"47","SPY210708",0
"48","SPY210709",0
"49","SPY210710",0
"50","SPY210711",0
"51","SPY210712",0
"52","SPY210713",0
"53","SPY210714",0
"54","SPY210715",0
"55","SPY210716",0
"56","SPY210717",0
"57","SPY210718",0
"58","SPY210719",0
"59","SPY210720",0
"60","SPY210721",0
"61","SPY210722",0
"62","SPY210723",0
"63","SPY210724",0
"64","SPY210725",0
"65","SPY210726",0
"66","SPY210727",0
"67","SPY210728",0
"68","SPY212584",0
"69","SPY212585",0
"70","SPY212586",0
"71","SPY212587",0
"72","SPY222967",0
"73","SPY222969",0
"74","SPY222977",0
"75","SPY231655",0
"76","SPY231656",0
"77","SPY231657",0
"78","SPY231658",0
"79","SPY231659",0
"80","SPY231665",0
"81","SPY231666",0
"82","SPY231667",0
"83","SPY231668",0
"84","SPY231705",0
"85","SPY231706",0
"86","SPY231707",0
"87","SPY231708",0
"88","SPY231709",0
"89","SPY231710",0
"90","SPY231711",0
"91","SPY231712",0
"92","SPY231735",0
"93","SPY231736",0
"94","SPY231737",0
"95","SPY231738",0
"96","SPY231739",0
"97","SPY231740",0
"98","SPY231748",0
"99","SPY231749",0
"100","SPY231754",0
"101","SPY231755",0
"102","SPY231756",0
"103","SPY231757",0
"104","SPY231762",0
"105","SPY231763",0
"106","SPY231764",0
"107","SPY231765",0
"108","SPY231766",0
"109","SPY231767",0
"110","SPY231768",0
"111","SPY231769",0
"112","SPY231770",0
"113","SPY231771",0
"114","SPY231772",0
"115","SPY231773",0
"116","SPY231774",0
"117","SPY231775",0
"118","SPY231776",0
"119","SPY231777",0
"120","SPY231778",0
"121","SPY231779",0
"122","SPY231780",0
"123","SPY231781",0
"124","SPY231782",0
"125","SPY231783",0
"126","SPY231784",0
"127","SPY231785",0
"128","SPY231786",0
"129","SPY231787",0
"130","SPY231788",0
"131","SPY231789",0
"132","SPY231790",0
"133","SPY231791",0
"134","SPY231792",0
"135","SPY231793",0
"136","SPY231794",0
"137","SPY231795",0
"138","SPY231796",0
"139","SPY231797",0
"140","SPY231798",0
"141","SPY231895",0
"142","SPY231896",0
"143","SPY231897",0
"144","SPY231898",0
"145","SPY231899",0
"146","SPY231900",0
"147","SPY231901",0
"148","SPY231902",0
"149","SPY231903",0
"150","SPY231904",0
"151","SPY231905",0
"152","SPY231906",0
"153","SPY231907",0
"154","SPY231908",0
"155","SPY231915",0
"156","SPY231916",0
"157","SPY232830",0
"158","SPY232831",0
"159","SPY232832",0
"160","SPY232833",0
"161","SPY232834",0
"162","SPY232835",0
"163","SPY223325",0
"164","SPY223333",0
"165","SPY224252",0
"166","SPY224256",0
"167","SPY201153",0
"168","SPY201159",0
"169","SPY201160",0
"170","SPY201161",0
"171","SPY201162",0
"172","SPY201164",0
"173","SPY201166",0
"174","SPY201167",0
"175","SPY201168",0
"176","SPY201169",0
"177","SPY201170",0
"178","SPY201171",0
"179","SPY201172",0
"180","SPY201180",0
"181","SPY201185",0
"182","SPY201186",0
"183","SPY201190",0
"184","SPY201958",0
"185","SPY202493",0
"186","SPY202494",0
"187","SPY202506",0
"188","SPY202509",0
"189","SPY202510",0
"190","SPY202514",0
"191","SPY202515",0
"192","SPY210643",0
"193","SPY210644",0
"194","SPY210645",0
"195","SPY210646",0
"196","SPY210648",0
"197","SPY210651",0
"198","SPY210657",0
"199","SPY210658",0
"200","SPY210659",0
"201","SPY210661",0
"202","SPY210662",0
"203","SPY210663",0
"204","SPY210664",0
"205","SPY210665",0
