spygen_code,protection
SPY211052,0
SPY211053,0
SPY211057,0
SPY211058,0
SPY201149,0
SPY201151,0
SPY201176,0
SPY201177,0
SPY201179,0
SPY201193,0
SPY201956,0
SPY201957,0
SPY201963,0
SPY201964,0
SPY201965,0
SPY201966,0
SPY202492,0
SPY202499,0
SPY210636,0
SPY210640,0
SPY210641,0
SPY210642,0
SPY210647,0
SPY210652,0
SPY210667,0
SPY210668,0
SPY210669,0
SPY210672,0
SPY210673,0
SPY210674,0
SPY210675,0
SPY210677,0
SPY210678,0
SPY210695,0
SPY210696,0
SPY210697,0
SPY210698,0
SPY210699,0
SPY210700,0
SPY210701,0
SPY210702,0
SPY210703,0
SPY210704,0
SPY210705,0
SPY210706,0
SPY210707,0
SPY210708,0
SPY210709,0
SPY210710,0
SPY210711,0
SPY210712,0
SPY210713,0
SPY210714,0
SPY210715,0
SPY210716,0
SPY210717,0
SPY210718,0
SPY210719,0
SPY210720,0
SPY210721,0
SPY210722,0
SPY210723,0
SPY210724,0
SPY210725,0
SPY210726,0
SPY210727,0
SPY210728,0
SPY212584,0
SPY212585,0
SPY212586,0
SPY212587,0
SPY222967,0
SPY222969,0
SPY222977,0
SPY231655,0
SPY231656,0
SPY231657,0
SPY231658,0
SPY231659,0
SPY231665,0
SPY231666,0
SPY231667,0
SPY231668,0
SPY231705,0
SPY231706,0
SPY231707,0
SPY231708,0
SPY231709,0
SPY231710,0
SPY231711,0
SPY231712,0
SPY231735,0
SPY231736,0
SPY231737,0
SPY231738,0
SPY231739,0
SPY231740,0
SPY231748,0
SPY231749,0
SPY231754,0
SPY231755,0
SPY231756,0
SPY231757,0
SPY231762,0
SPY231763,0
SPY231764,0
SPY231765,0
SPY231766,0
SPY231767,0
SPY231768,0
SPY231769,0
SPY231770,0
SPY231771,0
SPY231772,0
SPY231773,0
SPY231774,0
SPY231775,0
SPY231776,0
SPY231777,0
SPY231778,0
SPY231779,0
SPY231780,0
SPY231781,0
SPY231782,0
SPY231783,0
SPY231784,0
SPY231785,0
SPY231786,0
SPY231787,0
SPY231788,0
SPY231789,0
SPY231790,0
SPY231791,0
SPY231792,0
SPY231793,0
SPY231794,0
SPY231795,0
SPY231796,0
SPY231797,0
SPY231798,0
SPY231895,0
SPY231896,0
SPY231897,0
SPY231898,0
SPY231899,0
SPY231900,0
SPY231901,0
SPY231902,0
SPY231903,0
SPY231904,0
SPY231905,0
SPY231906,0
SPY231907,0
SPY231908,0
SPY231915,0
SPY231916,0
SPY232830,0
SPY232831,0
SPY232832,0
SPY232833,0
SPY232834,0
SPY232835,0
SPY223325,0
SPY223333,0
SPY224252,0
SPY224256,0
SPY201153,0
SPY201159,0
SPY201160,0
SPY201161,0
SPY201162,0
SPY201164,0
SPY201166,0
SPY201167,0
SPY201168,0
SPY201169,0
SPY201170,0
SPY201171,0
SPY201172,0
SPY201180,0
SPY201185,0
SPY201186,0
SPY201190,0
SPY201958,0
SPY202493,0
SPY202494,0
SPY202506,0
SPY202509,0
SPY202510,0
SPY202514,0
SPY202515,0
SPY210643,0
SPY210644,0
SPY210645,0
SPY210646,0
SPY210648,0
SPY210651,0
SPY210657,0
SPY210658,0
SPY210659,0
SPY210661,0
SPY210662,0
SPY210663,0
SPY210664,0
SPY210665,0
SPY210666,0
SPY210670,0
SPY210671,0
SPY210676,0
SPY210679,0
SPY210680,0
SPY210681,0
SPY210682,0
SPY210683,0
SPY210684,0
SPY210685,0
SPY210686,0
SPY210687,0
SPY210688,0
SPY210689,0
SPY210690,0
SPY210691,0
SPY210692,0
SPY210693,0
SPY210694,0
SPY211262,0
SPY211263,0
SPY211266,0
SPY211268,0
SPY211273,0
SPY211274,0
SPY211275,0
SPY211277,0
SPY211278,0
SPY211279,0
SPY211280,0
SPY211282,0
SPY211284,0
SPY211285,0
SPY211286,0
SPY211289,0
SPY211290,0
SPY211299,0
SPY211300,0
SPY211301,0
SPY211302,0
SPY211303,0
SPY211304,0
SPY211305,0
SPY211306,0
SPY211307,0
SPY211309,0
SPY211310,0
SPY211311,0
SPY212588,0
SPY212589,0
SPY231713,0
SPY231714,0
SPY231715,0
SPY231716,0
SPY231717,0
SPY231718,0
SPY231719,0
SPY231720,0
SPY231721,0
SPY231722,0
SPY231723,0
SPY231724,0
SPY231725,0
SPY231726,0
SPY231727,0
SPY231728,0
SPY231729,0
SPY231730,0
SPY231885,0
SPY231886,0
SPY231889,0
SPY231890,0
SPY231891,0
SPY231892,0
SPY211069,0
SPY211070,0
SPY211071,0
SPY211072,0
SPY211068,0
SPY211073,0
SPY231741,0
SPY231742,0
SPY231743,0
SPY231744,0
SPY231745,0
SPY231746,0
SPY231747,0
SPY231865,0
SPY231870,0
SPY231871,0
SPY231873,0
SPY231874,0
SPY231877,0
SPY231878,0
SPY181699,1
SPY192310,1
SPY201163,1
SPY211045,1
SPY211046,1
SPY211048,1
SPY211051,1
SPY211062,1
SPY211063,1
SPY211138,1
SPY211163,1
SPY211168,1
SPY211169,1
SPY211170,1
SPY211172,1
SPY211173,1
SPY211174,1
SPY211177,1
SPY211178,1
SPY211180,1
SPY211181,1
SPY211182,1
SPY211183,1
SPY211184,1
SPY212710,1
SPY212711,1
SPY212712,1
SPY212713,1
SPY212714,1
SPY212715,1
SPY212716,1
SPY212717,1
SPY212718,1
SPY212719,1
SPY212756,1
SPY212758,1
SPY212759,1
SPY211044,1
SPY211047,1
SPY211049,1
SPY211050,1
SPY211054,1
SPY211055,1
SPY231679,1
SPY231680,1
SPY231675,1
SPY231676,1
SPY231677,1
SPY231678,1
SPY231691,1
SPY231692,1
SPY231693,1
SPY231694,1
SPY231695,1
SPY231696,1
SPY231703,1
SPY231704,1
SPY231909,1
SPY231910,1
SPY231913,1
SPY231914,1
SPY211056,2
SPY211064,2
SPY201239,2
SPY201241,2
SPY231669,2
SPY231670,2
SPY231681,2
SPY231682,2
SPY231697,2
SPY231698,2
SPY201150,2
SPY201152,2
SPY201157,2
SPY201158,2
SPY231699,2
SPY231700,2
SPY231701,2
SPY231702,2
SPY231911,2
SPY231912,2
SPY201174,2
SPY201181,2
SPY201187,2
SPY201192,2
SPY201198,2
SPY202491,2
SPY202495,2
SPY202500,2
SPY231683,2
SPY231684,2
SPY231685,2
SPY231686,2
SPY231687,2
SPY231688,2
SPY231689,2
SPY231690,2
SPY231671,2
SPY231672,2
SPY231673,2
SPY231674,2
SPY231750,3
SPY231751,3
SPY231752,3
SPY231753,3
SPY211059,4
SPY211060,4
SPY200806,4
SPY200807,4
SPY231731,4
SPY231732,4
SPY210650,4
SPY201216,4
SPY201263,4
SPY210655,4
SPY210656,4
SPY210660,4
SPY231733,4
SPY231734,4
SPY231758,4
SPY231759,4
SPY222970,4
SPY222972,4
SPY222973,4
SPY222974,4
SPY181149,4
SPY181150,4
SPY231893,4
SPY231894,4
SPY231760,4
SPY231761,4
SPY201175,4
SPY201191,4
SPY202496,4
SPY202498,4
SPY201952,4
SPY201962,4
SPY210649,4
SPY212768,4
SPY200468,4
SPY200474,4
SPY201953,4
SPY201961,4
SPY210637,4
SPY210654,4
SPY212760,4
SPY212762,4
SPY212763,4
SPY212764,4
SPY212765,4
SPY212766,4
SPY212767,4
SPY212769,4
SPY231887,4
SPY231888,4
SPY231660,4
SPY231661,4
SPY231662,4
SPY231663,4
SPY231664,4
