spygen_code,protection
SPY181149,2
SPY181150,2
SPY181699,1
SPY192310,1
SPY200468,2
SPY200474,2
SPY200806,2
SPY200807,2
SPY201149,1
SPY201150,1
SPY201151,1
SPY201152,1
SPY201153,1
SPY201157,1
SPY201158,1
SPY201159,1
SPY201160,1
SPY201161,1
SPY201162,1
SPY201163,1
SPY201164,1
SPY201165,2
SPY201166,1
SPY201167,1
SPY201168,1
SPY201169,1
SPY201170,1
SPY201171,1
SPY201172,1
SPY201173,2
SPY201174,1
SPY201175,2
SPY201176,1
SPY201177,1
SPY201179,1
SPY201180,1
SPY201181,1
SPY201185,1
SPY201186,1
SPY201187,1
SPY201190,1
SPY201191,2
SPY201192,1
SPY201193,1
SPY201198,1
SPY201216,2
SPY201239,1
SPY201241,1
SPY201263,2
SPY201952,2
SPY201953,2
SPY201956,1
SPY201957,1
SPY201958,1
SPY201961,2
SPY201962,2
SPY201963,1
SPY201964,1
SPY201965,1
SPY201966,1
SPY202491,1
SPY202492,1
SPY202493,1
SPY202494,1
SPY202495,1
SPY202496,2
SPY202498,2
SPY202499,1
SPY202500,1
SPY202502,1
SPY202504,1
SPY202506,1
SPY202509,1
SPY202510,1
SPY202514,1
SPY202515,1
SPY210636,1
SPY210637,2
SPY210640,1
SPY210641,1
SPY210642,1
SPY210643,1
SPY210644,1
SPY210645,1
SPY210647,1
SPY210648,1
SPY210649,2
SPY210650,2
SPY210651,1
SPY210652,1
SPY210654,2
SPY210655,2
SPY210656,2
SPY210657,1
SPY210658,1
SPY210659,1
SPY210660,2
SPY210661,1
SPY210662,1
SPY210663,1
SPY210664,1
SPY210665,1
SPY210666,1
SPY210667,1
SPY210668,1
SPY210669,1
SPY210670,1
SPY210671,1
SPY210672,1
SPY210673,1
SPY210674,1
SPY210675,1
SPY210676,1
SPY210677,1
SPY210678,1
SPY210679,1
SPY210680,1
SPY210681,1
SPY210682,1
SPY210683,1
SPY210684,1
SPY210685,1
SPY210686,1
SPY210687,1
SPY210688,1
SPY210689,1
SPY210690,1
SPY210691,1
SPY210692,1
SPY210693,1
SPY210694,1
SPY210695,1
SPY210696,1
SPY210697,1
SPY210698,1
SPY210699,1
SPY210700,1
SPY210701,1
SPY210702,1
SPY210703,1
SPY210704,1
SPY210705,1
SPY210706,1
SPY210707,1
SPY210708,1
SPY210709,1
SPY210710,1
SPY210711,1
SPY210712,1
SPY210713,1
SPY210714,1
SPY210715,1
SPY210716,1
SPY210717,1
SPY210718,1
SPY210719,1
SPY210720,1
SPY210721,1
SPY210722,1
SPY210723,1
SPY210724,1
SPY210725,1
SPY210726,1
SPY210727,1
SPY210728,1
SPY211044,1
SPY211045,1
SPY211046,1
SPY211047,1
SPY211048,1
SPY211049,1
SPY211050,1
SPY211051,1
SPY211052,1
SPY211053,1
SPY211054,1
SPY211055,1
SPY211056,1
SPY211057,1
SPY211058,1
SPY211059,2
SPY211060,2
SPY211062,1
SPY211063,1
SPY211064,1
SPY211068,1
SPY211069,1
SPY211070,1
SPY211071,1
SPY211072,1
SPY211073,1
SPY211138,1
SPY211163,1
SPY211168,1
SPY211169,1
SPY211170,1
SPY211172,1
SPY211173,1
SPY211174,1
SPY211177,1
SPY211178,1
SPY211180,1
SPY211181,1
SPY211182,1
SPY211183,1
SPY211184,1
SPY211262,1
SPY211263,1
SPY211266,1
SPY211268,1
SPY211273,1
SPY211274,1
SPY211275,1
SPY211277,1
SPY211278,1
SPY211279,1
SPY211280,1
SPY211282,1
SPY211284,1
SPY211285,1
SPY211286,1
SPY211289,1
SPY211290,1
SPY211299,1
SPY211300,1
SPY211301,1
SPY211302,1
SPY211303,1
SPY211304,1
SPY211305,1
SPY211306,1
SPY211307,1
SPY211309,1
SPY211310,1
SPY211311,1
SPY212584,1
SPY212585,1
SPY212586,1
SPY212587,1
SPY212588,1
SPY212589,1
SPY212710,1
SPY212711,1
SPY212712,1
SPY212713,1
SPY212714,1
SPY212715,1
SPY212716,1
SPY212717,1
SPY212718,1
SPY212719,1
SPY212756,1
SPY212758,1
SPY212759,1
SPY212760,2
SPY212762,2
SPY212763,2
SPY212764,2
SPY212765,2
SPY212766,2
SPY212767,2
SPY212768,2
SPY212769,2
SPY222967,1
SPY222969,1
SPY222970,2
SPY222972,2
SPY222973,2
SPY222974,2
SPY222977,1
SPY223325,1
SPY223333,1
SPY224252,1
SPY224256,1
SPY231655,1
SPY231656,1
SPY231657,1
SPY231658,1
SPY231659,1
SPY231660,2
SPY231661,2
SPY231662,2
SPY231663,2
SPY231664,2
SPY231665,1
SPY231666,1
SPY231667,1
SPY231668,1
SPY231669,1
SPY231670,1
SPY231671,1
SPY231672,1
SPY231673,1
SPY231674,1
SPY231675,1
SPY231676,1
SPY231677,1
SPY231678,1
SPY231679,1
SPY231680,1
SPY231681,1
SPY231682,1
SPY231683,1
SPY231684,1
SPY231685,1
SPY231686,1
SPY231687,1
SPY231688,1
SPY231689,1
SPY231690,1
SPY231691,1
SPY231692,1
SPY231693,1
SPY231694,1
SPY231695,1
SPY231696,1
SPY231697,1
SPY231698,1
SPY231699,1
SPY231700,1
SPY231701,1
SPY231702,1
SPY231703,1
SPY231704,1
SPY231705,1
SPY231706,1
SPY231707,1
SPY231708,1
SPY231709,1
SPY231710,1
SPY231711,1
SPY231712,1
SPY231713,1
SPY231714,1
SPY231715,1
SPY231716,1
SPY231717,1
SPY231718,1
SPY231719,1
SPY231720,1
SPY231721,1
SPY231722,1
SPY231723,1
SPY231724,1
SPY231725,1
SPY231726,1
SPY231727,1
SPY231728,1
SPY231729,1
SPY231730,1
SPY231731,2
SPY231732,2
SPY231733,2
SPY231734,2
SPY231735,1
SPY231736,1
SPY231737,1
SPY231738,1
SPY231739,1
SPY231740,1
SPY231741,1
SPY231742,1
SPY231743,1
SPY231744,1
SPY231745,1
SPY231746,1
SPY231747,1
SPY231748,1
SPY231749,1
SPY231750,1
SPY231751,1
SPY231752,1
SPY231753,1
SPY231754,1
SPY231755,1
SPY231756,1
SPY231757,1
SPY231758,2
SPY231759,2
SPY231760,2
SPY231761,2
SPY231762,1
SPY231763,1
SPY231764,1
SPY231765,1
SPY231766,1
SPY231767,1
SPY231768,1
SPY231769,1
SPY231770,1
SPY231771,1
SPY231772,1
SPY231773,1
SPY231774,1
SPY231775,1
SPY231776,1
SPY231777,1
SPY231778,1
SPY231779,1
SPY231780,1
SPY231781,1
SPY231782,1
SPY231783,1
SPY231784,1
SPY231785,1
SPY231786,1
SPY231787,1
SPY231788,1
SPY231789,1
